0,0,0
0,0,85
0,0,88
0,0,91
0,0,94
0,0,97
0,0,100
0,0,103
0,0,106
0,0,109
10,0,112
13,0,115
16,0,118
19,0,121
22,0,124
24,0,127
27,0,130
30,0,133
33,0,136
35,0,139
35,0,142
35,0,145
35,0,148
35,12,151
35,15,154
35,18,157
35,20,160
36,20,163
39,20,166
42,20,169
45,20,172
48,20,175
51,20,178
51,20,181
51,20,184
52,20,187
55,20,190
58,20,193
61,20,196
64,20,199
65,20,200
66,20,201
67,20,202
68,20,203
69,20,204
70,20,205
70,20,202
70,20,203
70,20,204
70,20,205
70,20,205
73,20,208
76,20,211
79,20,214
82,20,217
85,20,220
86,20,223
86,20,226
86,23,229
86,26,232
86,29,235
86,32,238
86,35,241
86,38,244
86,41,247
86,44,250
86,44,253
86,44,256
86,45,259
86,48,262
86,48,265
86,48,268
87,48,271
87,48,274
87,48,277
87,49,280
87,52,283
87,54,286
87,57,289
87,60,292
89,60,295
92,60,298
95,60,301
98,60,304
100,60,307
103,60,310
106,60,313
106,60,316
106,62,319
106,65,322
106,65,325
108,65,328
111,65,331
113,65,334
113,65,337
113,65,340
113,65,343
113,69,346
113,72,349
113,75,352
113,78,355
113,81,358
113,84,361
113,87,364
113,88,367
114,88,370
114,91,373
114,92,376
117,92,379
120,92,382
123,92,385
126,92,388
129,92,391
132,92,394
135,92,397
138,92,400
141,92,403
142,92,406
142,95,409
142,98,412
142,101,415
142,104,418
142,107,421
142,110,424
142,112,427
142,115,430
142,118,433
142,121,436
142,124,439
142,127,442
143,128,445
144,128,448
147,128,451
150,128,454
151,130,457
152,132,460
152,133,463
